[200, 150, 1.0, 3.1]:: Return=0.4144, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.1623, terminal=False
[200, 150, 2.7, 3.1]:: Return=0.1235, terminal=True
[200, 150, 2.7, 3.1]:: Return=0.0847, terminal=False
[200, 150, 1.8, 3.1]:: Return=1.1219, terminal=False
[200, 150, 1.0, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.3154, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.2369, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.129, terminal=False
[200, 150, 2.9, 3.1]:: Return=0.0541, terminal=False
[200, 150, 2.9, 3.1]:: Return=1.2805, terminal=False
[200, 150, 2.0, 3.1]:: Return=-0.6647, terminal=False
[200, 150, 2.8, 3.1]:: Return=0.054, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 0.8, 3.1]:: Return=-0.2809, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.1, 3.1]:: Return=-0.3886, terminal=False
[200, 150, 0.7, 3.1]:: Return=0.11, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.5, 3.1]:: Return=-0.2602, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.4, 3.1]:: Return=-0.1423, terminal=False
[200, 150, 2.6, 3.1]:: Return=0.1855, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.4144, terminal=False
[200, 150, 1.3, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.0062, terminal=True
[200, 150, 2.6, 3.1]:: Return=0.0847, terminal=False
[200, 150, 2.0, 3.1]:: Return=1.1219, terminal=False
[200, 150, 0.9, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 2.3, 3.1]:: Return=0.8918, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.0996, terminal=False
[200, 150, 1.5, 3.1]:: Return=1.1158, terminal=False
[200, 150, 2.4, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0541, terminal=False
[200, 150, 2.8, 3.1]:: Return=0.6805, terminal=False
[200, 150, 1.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.4061, terminal=False
[200, 150, 1.1, 3.1]:: Return=0.5691, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0934, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 2.8, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.0302, terminal=False
[200, 150, 2.8, 3.1]:: Return=-0.1168, terminal=False
[200, 150, 2.4, 3.1]:: Return=-0.515, terminal=False
[200, 150, 1.1, 3.1]:: Return=-0.0668, terminal=False
[200, 150, 2.2, 3.1]:: Return=-0.1423, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.0998, terminal=False
[200, 150, 1.2, 3.1]:: Return=0.0715, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.1962, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.2412, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.0676, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.2344, terminal=False
[200, 150, 0.9, 3.1]:: Return=1.0425, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.8181, terminal=False
[200, 150, 2.4, 3.1]:: Return=0.0986, terminal=True
     0: >>> E[0:00:00]-R[?]: Return=      3.39, Steps=25.9, Features = 100
[200, 150, 2.9, 3.1]:: Return=0.0847, terminal=False
[200, 150, 2.3, 3.1]:: Return=1.1219, terminal=False
[200, 150, 1.4, 3.1]:: Return=-0.3938, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.3154, terminal=False
[200, 150, 1.5, 3.1]:: Return=1.1158, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.7, 3.1]:: Return=0.0541, terminal=False
[200, 150, 2.8, 3.1]:: Return=0.6805, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.4061, terminal=False
[200, 150, 2.4, 3.1]:: Return=-0.667, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0934, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.3955, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.3233, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.8273, terminal=False
[200, 150, 1.6, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 0.8, 3.1]:: Return=-0.2809, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.2328, terminal=False
[200, 150, 2.2, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.4, 3.1]:: Return=-0.515, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.8214, terminal=False
[200, 150, 1.0, 3.1]:: Return=-0.1912, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.0998, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.0715, terminal=False
