[10,] 186.4752 141.8897 0.8707127 3.106041
[11,] 186.4752 144.8022 0.8707127 3.106041
[12,] 186.4752 144.8022 0.8707127 3.106041

2006,2009
          [,1]     [,2]     [,3]     [,4]
 [1,] 154.0909 57.14363 1.150630 3.390205
 [2,] 154.0909 57.14363 1.150630 3.390205
 [3,] 154.0909 54.23113 1.150630 3.390205
 [4,] 165.3034 57.14363 1.084005 3.317130
 [5,] 165.3034 57.14363 1.084005 3.682505
 [6,] 154.0909 57.14363 1.017380 3.682505
 [7,] 169.0409 57.14363 1.150630 3.682505
 [8,] 161.5659 57.14363 1.084005 3.682505
 [9,] 165.3034 57.14363 1.084005 3.682505
[10,] 161.5659 57.14363 1.017380 3.536355
[11,] 165.3034 57.14363 1.084005 3.755580
[12,] 165.3034 54.23113 1.084005 3.390205

2006,2008
          [,1]     [,2]     [,3]     [,4]
 [1,] 179.0480 90.96881 1.695673 3.510416
 [2,] 179.0480 90.96881 1.695673 3.289433
 [3,] 171.5730 90.96881 1.695673 3.362508
 [4,] 179.0480 90.96881 1.695673 3.216358
 [5,] 179.0480 90.96881 1.695673 3.435583
 [6,] 175.3105 90.96881 1.695673 3.510416
 [7,] 179.0480 90.96881 1.695673 3.289433
 [8,] 179.0480 90.96881 1.695673 3.289433
 [9,] 179.0480 90.96881 1.695673 3.289433
[10,] 167.8355 90.96881 1.695673 3.289433
[11,] 179.0480 90.96881 1.695673 3.437341
[12,] 179.0480 90.96881 1.629048 3.289433

2007,2014
          [,1]     [,2]      [,3]     [,4]
 [1,] 188.2774 137.9387 0.6751581 3.337056
 [2,] 188.2774 137.9387 0.6751581 3.337056
 [3,] 184.5399 137.9387 0.6751581 3.337056
 [4,] 188.2774 137.9387 0.8084081 3.190906
 [5,] 188.2774 137.9387 0.6751581 3.337056
 [6,] 188.2774 137.9387 0.8084081 3.337056
 [7,] 188.2774 137.9387 0.6085331 3.337056
 [8,] 188.2774 128.9634 0.8084081 3.263981
 [9,] 188.2774 137.9387 0.6751581 3.337056
[10,] 188.2774 126.0509 0.8084081 3.337056
[11,] 188.2774 140.8512 0.7417831 3.337056
[12,] 188.2774 140.8512 0.6751581 3.337056

2007,2013
          [,1]     [,2]      [,3]     [,4]
 [1,] 201.1357 82.73705 0.8050831 3.272391
 [2,] 201.1357 82.73705 0.8050831 3.272391
 [3,] 204.8732 82.73705 0.8050831 3.272391
 [4,] 201.1357 82.73705 0.8050831 3.272391
 [5,] 197.3982 88.56205 0.6718331 3.272391
 [6,] 201.1357 82.73705 0.8717081 3.199316
 [7,] 201.1357 82.73705 0.8050831 3.345466
 [8,] 197.3982 79.82455 0.7384581 3.272391
 [9,] 201.1357 82.73705 0.8050831 3.272391
[10,] 197.3982 82.73705 0.8717081 3.272391
[11,] 189.9232 82.73705 0.8050831 3.272391
[12,] 201.1357 82.73705 0.8050831 3.272391

2007,2012
          [,1]     [,2]      [,3]     [,4]
 [1,] 188.5138 144.6604 0.8294335 3.419346
 [2,] 195.9888 144.6604 0.8294335 3.346271
 [3,] 181.0388 144.6604 0.8294335 3.565496
 [4,] 192.2513 144.6604 0.8294335 3.638571
 [5,] 188.5138 147.5729 0.8294335 3.346271
 [6,] 192.2513 141.7479 0.8294335 3.492421
 [7,] 181.0388 147.5729 0.8294335 3.565496
 [8,] 181.0388 133.0104 0.8294335 3.638571
 [9,] 181.0388 144.6604 0.8294335 3.565496
[10,] 181.0388 144.6604 0.8294335 3.419346
[11,] 195.9888 144.6604 0.8960585 3.346271
[12,] 195.9888 144.6604 0.8294335 3.565496

2007,2011
          [,1]     [,2]      [,3]     [,4]
 [1,] 188.7031 83.75356 0.7688531 3.301034
 [2,] 188.7031 83.75356 0.7688531 3.301034
 [3,] 188.7031 83.75356 0.7688531 3.520259
 [4,] 188.7031 83.75356 0.7688531 3.301034
 [5,] 184.9656 83.75356 0.7688531 3.301034
 [6,] 184.9656 83.75356 0.7688531 3.301034
 [7,] 188.7031 83.75356 0.7688531 3.301034
 [8,] 181.2281 83.75356 0.7688531 3.301034
 [9,] 188.7031 80.84106 0.7688531 3.374109
[10,] 184.9656 83.75356 0.7688531 3.154884
[11,] 188.7031 83.75356 0.7688531 3.301034
[12,] 188.7031 83.75356 0.7688531 3.154884

2007,2010
          [,1]     [,2]      [,3]     [,4]
 [1,] 187.5282 82.64729 0.7816881 3.280205
 [2,] 187.5282 82.64729 0.7816881 3.280205
 [3,] 187.5282 85.55979 0.7816881 3.280205
 [4,] 187.5282 82.64729 0.7816881 3.280205
 [5,] 187.5282 82.64729 0.7816881 3.280205
 [6,] 187.5282 85.55979 0.7816881 3.280205
 [7,] 183.7907 82.64729 0.7816881 3.280205
 [8,] 187.5282 82.64729 0.7150631 3.280205
 [9,] 187.5282 82.64729 0.7816881 3.280205
[10,] 187.5282 82.64729 0.7816881 3.280205
[11,] 187.5282 82.64729 0.7816881 3.280205
[12,] 187.5282 65.17229 0.7816881 3.353280

2007,2009
          [,1]      [,2]      [,3]     [,4]
 [1,] 205.4081  50.06585 0.7812288 3.474150
 [2,] 205.4081  50.06585 0.9144788 3.254925
 [3,] 201.6706 112.38833 0.9144788 3.474150
 [4,] 205.4081  50.06585 0.9811038 3.254925
 [5,] 209.1456  50.06585 0.9144788 3.254925
 [6,] 205.4081  50.06585 0.9811038 3.254925
 [7,] 209.1456 135.40760 0.7812288 3.474150
 [8,] 205.4081  50.06585 0.9811038 3.254925
 [9,] 205.4081  85.34269 0.9144788 3.254925
[10,] 205.4081  50.06585 0.7812288 3.474150
[11,] 205.4081  52.97835 0.7812288 3.474150
[12,] 205.4081  50.06585 0.9144788 3.254925

2008,2014
          [,1]     [,2]     [,3]     [,4]
 [1,] 189.9656 134.5777 0.669921 4.933817
 [2,] 189.9656 134.5777 0.669921 4.933817
 [3,] 193.7031 134.5777 0.669921 4.933817
 [4,] 189.9656 134.5777 0.669921 4.376653
 [5,] 189.9656 134.5777 0.669921 4.933817
